loan_id, no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, commercial_assets_value, luxury_assets_value, bank_asset_value, loan_status
1,2, Graduate, Yes,1000000,3100000,12,746,2700000,1600000,1300000,200000, Approved
2,2, Graduate, No,7700000,17400000,4,367,25700000,3400000,30200000,10300000, Rejected
3,5, Not Graduate, Yes,6600000,27000000,4,386,13800000,13100000,14800000,9600000, Rejected
4,5, Graduate, No,4500000,18300000,4,454,8100000,5000000,10500000,2200000, Rejected
5,5, Not Graduate, Yes,4400000,19300000,16,342,11800000,100000,16200000,3300000, Rejected
6,2, Graduate, Yes,8600000,39400000,14,409,4500000,10500000,31900000,7200000, Rejected
7,4, Graduate, Yes,1000000,2700000,20,643,1600000,2000000,2900000,400000, Approved
8,4, Not Graduate, No,7000000,28500000,4,304,12900000,7500000,27500000,7900000, Rejected
9,4, Graduate, No,2100000,8900000,6,472,6200000,4000000,3500000,1900000, Rejected
10,0, Graduate, No,1100000,2500000,10,488,3200000,1900000,1400000,300000, Rejected
11,5, Graduate, Yes,5300000,25000000,14,883,15900000,6100000,3200000,7200000, Approved
12,5, Graduate, Yes,9700000,13400000,4,885,24300000,7800000,16600000,5100000, Approved
13,4, Not Graduate, Yes,7400000,36800000,6,808,14400000,13400000,19300000,2400000, Approved
14,3, Graduate, Yes,7600000,31000000,10,505,22300000,7000000,11900000,11200000, Rejected
15,2, Graduate, No,7200000,9900000,2,616,22200000,3100000,18200000,1800000, Approved
16,1, Not Graduate, Yes,7900000,28600000,8,603,14100000,6300000,5300000,1500000, Approved
17,0, Graduate, Yes,5200000,5900000,16,816,18000000,11400000,9000000,2200000, Approved
18,5, Graduate, Yes,1400000,5700000,12,748,4300000,1000000,4400000,800000, Approved
19,1, Not Graduate, Yes,8400000,35300000,10,844,15800000,4900000,7300000,5900000, Approved
20,2, Not Graduate, Yes,4600000,15700000,10,631,2000000,1500000,13800000,4900000, Approved
21,2, Not Graduate, No,5100000,22600000,20,852,4800000,700000,16200000,3100000, Approved
22,4, Not Graduate, Yes,3800000,5300000,12,746,10500000,9300000,9500000,3400000, Approved
23,1, Not Graduate, No,1900000,4000000,12,744,1100000,2500000,6800000,200000, Approved
24,1, Not Graduate, No,9200000,24400000,20,697,16100000,16800000,35300000,5900000, Approved
25,1, Graduate, No,7800000,9100000,4,501,17100000,15100000,4800000,11100000, Rejected
26,1, Graduate, No,6500000,18200000,2,665,20100000,5700000,18700000,7700000, Approved
27,0, Graduate, No,4100000,8400000,10,514,12300000,8200000,5500000,4700000, Rejected
28,2, Graduate, No,8200000,21100000,8,690,22300000,19700000,15800000,4300000, Approved
29,3, Not Graduate, No,5500000,14900000,6,453,8500000,10200000,14700000,4300000, Rejected
30,2, Not Graduate, Yes,4500000,20300000,4,780,3000000,8000000,13500000,5800000, Approved
31,2, Not Graduate, Yes,4600000,9600000,18,643,11100000,5000000,15800000,6100000, Rejected
32,5, Not Graduate, Yes,2400000,11000000,14,726,1900000,5000000,7100000,2600000, Approved
33,1, Not Graduate, Yes,1100000,3000000,14,433,2300000,200000,3500000,800000, Rejected
34,5, Not Graduate, Yes,5600000,12900000,4,775,19200000,10500000,14500000,1100000, Approved
35,3, Not Graduate, Yes,8900000,26800000,8,782,17900000,8100000,8100000,2400000, Approved
36,3, Not Graduate, Yes,800000,2100000,14,387,1900000,1100000,500000,100000, Rejected
37,1, Graduate, No,8600000,17500000,12,510,20900000,19200000,20200000,5200000, Rejected
38,5, Graduate, Yes,8300000,25000000,14,707,24400000,12600000,24900000,1100000, Approved
39,2, Not Graduate, No,2900000,4700000,14,825,4700000,200000,2600000,2100000, Approved
40,3, Not Graduate, No,6300000,15200000,10,742,11600000,11400000,12600000,5900000, Approved
41,1, Graduate, No,1800000,5900000,16,583,1400000,4200000,2500000,1700000, Approved
42,2, Not Graduate, No,7600000,20200000,6,480,16900000,12200000,18900000,6700000, Rejected
43,4, Graduate, No,7000000,30100000,2,846,8200000,15100000,13100000,2900000, Approved
44,5, Not Graduate, Yes,3600000,7300000,20,825,6800000,7400000,4300000,3000000, Approved
45,5, Not Graduate, Yes,800000,3900000,2,838,2200000,1700000,400000,1200000, Approved
46,0, Graduate, No,9700000,39500000,6,483,2500000,8300000,15800000,7000000, Rejected
47,0, Graduate, No,4500000,21900000,4,562,9300000,5300000,10400000,6000000, Rejected
48,5, Not Graduate, Yes,8900000,38700000,6,446,6900000,18900000,33400000,5600000, Rejected
49,4, Graduate, Yes,6800000,10700000,8,873,7600000,15500000,8800000,6600000, Approved
50,0, Graduate, No,7800000,24200000,4,821,2500000,2900000,17900000,6000000, Approved
51,5, Graduate, No,7600000,12800000,10,404,5800000,3400000,18900000,8100000, Rejected
52,4, Graduate, No,2100000,9000000,20,448,7300000,1800000,5800000,2800000, Rejected
53,5, Graduate, Yes,3700000,12300000,4,631,12900000,7100000,6100000,2700000, Approved
54,0, Not Graduate, Yes,4700000,9700000,20,549,12100000,10300000,4000000,5500000, Approved
55,4, Not Graduate, No,5000000,23600000,10,576,11100000,7300000,18600000,6700000, Approved
56,2, Not Graduate, No,600000,900000,12,521,1700000,200000,2300000,700000, Approved
57,3, Not Graduate, Yes,5500000,17900000,10,705,17400000,4200000,11200000,700000, Approved
58,1, Not Graduate, Yes,1700000,6600000,8,839,3300000,3600000,4300000,200000, Approved
59,0, Graduate, Yes,7400000,9100000,4,851,2300000,6400000,4500000,9900000, Approved
60,4, Not Graduate, No,6800000,23100000,12,573,17300000,1700000,4500000,7600000, Approved
61,0, Graduate, Yes,9200000,39200000,20,797,31700000,6900000,7100000,13300000, Approved
62,2, Not Graduate, No,7400000,9400000,12,717,7800000,14900000,22800000,3800000, Approved
63,1, Not Graduate, No,3700000,11300000,12,418,6400000,4600000,4800000,4500000, Rejected
64,5, Graduate, Yes,9600000,19500000,14,777,13400000,4100000,11000000,11700000, Approved
65,2, Graduate, Yes,4200000,15300000,8,510,6300000,3300000,2200000,5500000, Rejected
66,1, Graduate, No,3300000,4900000,4,677,8500000,7900000,1900000,3500000, Approved
67,5, Not Graduate, Yes,9000000,39500000,12,733,13000000,9700000,17300000,2600000, Approved
68,4, Not Graduate, Yes,3800000,17400000,18,867,12600000,4200000,9100000,4000000, Approved
69,1, Graduate, No,900000,1600000,8,869,2500000,300000,2300000,900000, Approved
70,2, Not Graduate, No,4800000,11000000,18,782,1400000,3700000,10100000,2700000, Approved
71,3, Not Graduate, Yes,7900000,26500000,18,604,22900000,16100000,16700000,3100000, Approved
72,4, Not Graduate, Yes,2000000,7700000,6,540,5500000,3900000,6300000,2700000, Approved
73,5, Graduate, Yes,4700000,13000000,12,565,9000000,5100000,7100000,1400000, Rejected
74,5, Graduate, No,1400000,2300000,16,871,2600000,3100000,1900000,1000000, Approved
75,0, Not Graduate, No,6900000,9800000,10,423,20400000,6600000,24100000,6700000, Rejected
76,2, Not Graduate, No,4800000,24000000,14,615,7700000,10400000,14000000,7000000, Approved
77,0, Not Graduate, No,3400000,9600000,20,708,2500000,300000,7400000,3500000, Approved
78,1, Not Graduate, Yes,2400000,10800000,14,313,3000000,2100000,3500000,1300000, Rejected
79,1, Graduate, No,5700000,16700000,18,681,6100000,12200000,5600000,1100000, Approved
80,1, Graduate, Yes,6700000,31400000,18,456,16400000,15100000,4200000,3700000, Rejected
81,1, Graduate, No,9400000,12700000,18,468,7400000,17800000,32700000,4800000, Rejected
82,2, Not Graduate, Yes,4400000,6400000,18,673,10200000,7400000,11300000,5500000, Approved
83,2, Not Graduate, Yes,1700000,8000000,6,305,3000000,3500000,1100000,1100000, Rejected
84,5, Not Graduate, Yes,8300000,39500000,2,394,24700000,14700000,8800000,2000000, Rejected
85,2, Not Graduate, Yes,6300000,14200000,4,573,11300000,4000000,9300000,8300000, Rejected
86,0, Graduate, Yes,7000000,16900000,6,651,22900000,8200000,9900000,900000, Approved
87,3, Graduate, No,1100000,3100000,14,365,3500000,1800000,2700000,100000, Rejected
88,1, Not Graduate, No,3200000,8500000,12,517,2600000,4700000,6100000,2400000, Approved
89,0, Graduate, No,7700000,13600000,10,484,19000000,17000000,27600000,1500000, Rejected
90,4, Graduate, Yes,8300000,38100000,2,621,7500000,9800000,25000000,2900000, Approved
91,4, Not Graduate, No,4400000,8900000,14,480,12800000,2000000,16200000,6500000, Rejected
92,2, Graduate, Yes,8000000,30600000,8,301,18400000,4300000,28200000,10300000, Rejected
93,1, Graduate, Yes,8400000,10700000,16,618,9800000,17800000,31300000,9800000, Approved
94,2, Graduate, Yes,3900000,4500000,4,809,4000000,100000,15300000,4100000, Approved
95,2, Not Graduate, Yes,9000000,32500000,6,651,14600000,19600000,14300000,1500000, Approved
96,5, Graduate, Yes,3000000,7100000,2,517,8500000,400000,3700000,3800000, Rejected
97,0, Not Graduate, No,2500000,9100000,6,589,7100000,2400000,2700000,1900000, Approved
98,1, Not Graduate, No,6800000,9400000,20,384,2100000,13600000,18300000,1600000, Rejected
99,4, Graduate, No,6400000,30700000,10,442,7700000,6500000,18500000,3300000, Rejected
100,5, Not Graduate, Yes,1500000,6000000,10,563,2400000,3100000,1200000,1200000, Approved
